Date,Close/Last,Volume,Open,High,Low
09/30/2021,536.75,203632,539,548.5,527.25
09/29/2021,539,95738,533.5,541,533.5
09/28/2021,532.5,111639,538.75,541.75,532
09/27/2021,539.5,127990,524.75,540,524
09/24/2021,526.75,82426,528.5,528.75,524
09/23/2021,529.25,86714,524.5,531,520.25
09/22/2021,525.5,100121,517,526.25,516
09/21/2021,517,106213,522,522.75,512.75
09/20/2021,521.75,115301,527,527,515.25
09/17/2021,527.25,100824,529,530.5,521.75
09/16/2021,529.5,106123,533.5,537.5,528
09/15/2021,533.5,141796,520.75,534.5,520.5
09/14/2021,503,81,497,502.25,497
09/13/2021,496.75,313,503.5,503.5,493
09/10/2021,502.75,370,499,505,487.75
09/09/2021,496,164,498.5,500,494.5
09/08/2021,498.25,451,497.5,504,495
09/07/2021,495.75,734,509,509,496
09/03/2021,508,923,516.75,518.25,506.75
09/02/2021,516.25,1253,515.5,521,510
09/01/2021,515.5,4795,534,535,514.25
08/31/2021,534,7312,540,542,524
08/30/2021,540.25,68102,557.25,560,531.5
08/27/2021,558,91626,553,558.75,548.75
08/26/2021,552.75,56597,550,555.75,548
08/25/2021,551.25,58998,544.5,555,541.25
08/24/2021,544.5,65412,539.5,546.5,537
08/23/2021,538,39713,536,544.25,531.5
08/20/2021,538.75,72334,550.25,554.25,533.25
08/19/2021,550,75363,560.5,560.5,546.75
08/18/2021,561.75,48653,559,563.5,556.5
08/17/2021,558.25,58652,567.5,569.5,556.25
08/16/2021,564.75,49898,568.25,572,561
08/13/2021,568.25,89700,566.75,575,559
08/12/2021,567,216892,554.75,589.5,548.5
08/11/2021,556.25,157039,548.75,558.5,548.25
08/10/2021,549.25,111816,548.5,550.25,544
08/09/2021,550.25,120433,554,556,547
08/06/2021,555,120286,555,560.5,548.75
08/05/2021,555.75,86532,546.75,560.75,545.75
08/04/2021,545.75,59954,550.5,555.25,540.25
08/03/2021,550.5,82773,555.75,563.5,546.75
08/02/2021,558.75,73168,547.25,559.25,540.25
07/30/2021,547,53491,557,557.75,546.5
07/29/2021,558,62510,549.25,559,546.5
07/28/2021,549.25,55042,554,554.25,545
07/27/2021,548.75,58841,554,564,544.25
07/26/2021,549.75,60844,549.25,551.25,536.75
07/23/2021,547.25,68337,564.75,569.25,544.5
07/22/2021,564.5,73341,571.5,571.75,555
07/21/2021,571.25,72291,572,579,567.75
07/20/2021,571.75,67881,558,576.25,557.25
07/19/2021,556,58870,570,571.5,548.75
07/16/2021,556,73858,564,570.5,553.25
07/15/2021,564.25,60953,568.5,571.5,561
07/14/2021,683,26,682,687,682
07/13/2021,677,329,669.5,750.5,664
07/12/2021,669.25,426,629.75,666,619.5
07/09/2021,629.75,530,640.75,643.5,620
07/08/2021,638,475,657.5,659.5,636
07/07/2021,652.5,571,656,666,645
07/06/2021,656,1707,685.25,685.25,645.5
07/02/2021,697.25,3783,720,727,683
07/01/2021,719.75,3840,719.75,744.5,712.25
06/30/2021,720,15708,694,743.25,675.5
06/29/2021,694.5,51140,678.25,700,668
06/28/2021,675.25,64989,637.75,676.5,636.75
06/25/2021,636.5,92335,653.25,659.5,634
06/24/2021,653.25,118774,664,664,650.75
06/23/2021,664.25,92037,660.5,666.25,659.25
06/22/2021,659.75,109273,662.75,668,653.75
06/21/2021,659.25,102806,640.25,665,636
06/18/2021,655.25,164283,631,663.5,629.5
06/17/2021,633,168507,672.75,674.25,633
06/16/2021,673,147295,670,687.75,663.75
06/15/2021,667.5,150873,662.75,668.5,646.75
06/14/2021,659.25,140394,675.75,676.25,653
06/11/2021,684.5,194860,699.5,686.75,675
06/10/2021,699,224289,691,717.5,687.75
06/09/2021,690.75,180510,682.5,695.5,669.5
06/08/2021,680,195437,682,698,677.5
06/07/2021,679.25,223865,688.5,690,674.5
06/04/2021,682.75,128748,663.5,685.75,660.75
06/03/2021,662,145899,675.5,685,652.75
06/02/2021,675,142889,683.25,694.25,666
06/01/2021,688.75,145419,666,696.75,660.75
05/28/2021,656.75,134039,657,659,651.25
05/27/2021,664.5,147969,664.5,664.5,664.5
05/26/2021,624.5,168620,621,629,602.75
05/25/2021,620.25,191164,620.25,621.25,617.25
05/24/2021,657.25,94900,652.25,658.5,645.5
05/21/2021,659.5,99314,664.75,666.75,653.5
05/20/2021,664.5,109216,662.25,671.25,656.5
05/19/2021,661,127086,660.5,663,637
05/18/2021,658.25,141189,653.5,669.5,652.5
05/17/2021,652.5,165777,642.25,656.75,633
05/14/2021,685,28,717.25,718.75,685
05/13/2021,719,307,757.5,729,729
05/12/2021,757.5,328,764.25,769.25,750
