Date,Close/Last,Volume,Open,High,Low
10/04/2021,2.0035,N/A,2.0035,2.0035,2.0035
10/01/2021,2.0405,N/A,2.0405,2.0405,2.0405
09/30/2021,1.94,N/A,1.94,1.94,1.94
09/29/2021,1.934,N/A,1.934,1.934,1.934
09/28/2021,1.986,N/A,1.986,1.986,1.986
09/27/2021,1.9365,N/A,1.9365,1.9365,1.9365
09/24/2021,1.9435,N/A,1.9435,1.9435,1.9435
09/23/2021,1.906,N/A,1.906,1.906,1.906
09/22/2021,1.8485,N/A,1.8485,1.8485,1.8485
09/21/2021,1.8335,N/A,1.8335,1.8335,1.8335
09/20/2021,1.826,N/A,1.826,1.826,1.826
09/17/2021,1.864,N/A,1.864,1.864,1.864
09/16/2021,1.8815,N/A,1.8815,1.8815,1.8815
09/15/2021,1.8735,N/A,1.8735,1.8735,1.8735
09/14/2021,1.8545,N/A,1.8545,1.8545,1.8545
09/13/2021,1.868,N/A,1.868,1.868,1.868
09/10/2021,1.8805,N/A,1.8805,1.8805,1.8805
09/09/2021,1.8745,N/A,1.8745,1.8745,1.8745
09/08/2021,1.902,N/A,1.902,1.902,1.902
09/07/2021,1.9395,N/A,1.9395,1.9395,1.9395
09/03/2021,1.93,N/A,1.93,1.93,1.93
09/02/2021,1.9435,N/A,1.9435,1.9435,1.9435
09/01/2021,1.9565,N/A,1.9565,1.9565,1.9565
08/31/2021,1.959,N/A,1.959,1.959,1.959
08/30/2021,1.999,N/A,1.999,1.999,1.999
08/27/2021,1.922,N/A,1.922,1.922,1.922
08/26/2021,1.88,N/A,1.88,1.88,1.88
08/25/2021,1.8635,N/A,1.8635,1.8635,1.8635
08/24/2021,1.8575,N/A,1.8575,1.8575,1.8575
08/23/2021,1.8185,N/A,1.8185,1.8185,1.8185
08/20/2021,1.7825,N/A,1.7825,1.7825,1.7825
08/19/2021,1.782,N/A,1.782,1.782,1.782
08/18/2021,1.797,N/A,1.797,1.797,1.797
08/17/2021,1.7895,N/A,1.7895,1.7895,1.7895
08/16/2021,1.832,N/A,1.832,1.832,1.832
08/13/2021,1.8275,N/A,1.8275,1.8275,1.8275
08/12/2021,1.8655,N/A,1.8655,1.8655,1.8655
08/11/2021,1.8385,N/A,1.8385,1.8385,1.8385
08/10/2021,1.82,N/A,1.82,1.82,1.82
08/09/2021,1.7935,N/A,1.7935,1.7935,1.7935
08/06/2021,1.76,N/A,1.76,1.76,1.76
08/05/2021,1.769,N/A,1.769,1.769,1.769
08/04/2021,1.7565,N/A,1.7565,1.7565,1.7565
08/03/2021,1.7485,N/A,1.7485,1.7485,1.7485
08/02/2021,1.728,N/A,1.728,1.728,1.728
07/30/2021,1.7955,N/A,1.7955,1.7955,1.7955
07/29/2021,1.965,N/A,1.965,1.965,1.965
07/28/2021,2.0045,N/A,2.0045,2.0045,2.0045
07/27/2021,2.0175,N/A,2.0175,2.0175,2.0175
07/26/2021,2.078,N/A,2.078,2.078,2.078
07/23/2021,1.89,N/A,1.89,1.89,1.89
07/22/2021,1.9365,N/A,1.9365,1.9365,1.9365
07/21/2021,1.76,N/A,1.76,1.76,1.76
07/20/2021,1.668,N/A,1.668,1.668,1.668
07/19/2021,1.564,N/A,1.564,1.564,1.564
07/16/2021,1.6135,N/A,1.6135,1.6135,1.6135
07/15/2021,1.5705,N/A,1.5705,1.5705,1.5705
07/14/2021,1.566,N/A,1.566,1.566,1.566
07/13/2021,1.5225,N/A,1.5225,1.5225,1.5225
07/12/2021,1.54,N/A,1.54,1.54,1.54
07/09/2021,1.515,N/A,1.515,1.515,1.515
07/08/2021,1.5225,N/A,1.5225,1.5225,1.5225
07/07/2021,1.4995,N/A,1.4995,1.4995,1.4995
07/06/2021,1.481,N/A,1.481,1.481,1.481
07/02/2021,1.5305,N/A,1.5305,1.5305,1.5305
07/01/2021,1.564,N/A,1.564,1.564,1.564
06/30/2021,1.5975,N/A,1.5975,1.5975,1.5975
06/29/2021,1.602,N/A,1.602,1.602,1.602
06/28/2021,1.627,N/A,1.627,1.627,1.627
06/25/2021,1.578,N/A,1.578,1.578,1.578
06/24/2021,1.534,N/A,1.534,1.534,1.534
06/23/2021,1.539,N/A,1.539,1.539,1.539
06/22/2021,1.521,N/A,1.521,1.521,1.521
06/21/2021,1.5235,N/A,1.5235,1.5235,1.5235
06/18/2021,1.499,N/A,1.499,1.499,1.499
06/17/2021,1.4955,N/A,1.4955,1.4955,1.4955
06/16/2021,1.5335,N/A,1.5335,1.5335,1.5335
06/15/2021,1.512,N/A,1.512,1.512,1.512
06/14/2021,1.541,N/A,1.541,1.541,1.541
06/11/2021,1.5745,N/A,1.5745,1.5745,1.5745
06/10/2021,1.587,N/A,1.587,1.587,1.587
06/09/2021,1.572,N/A,1.572,1.572,1.572
06/08/2021,1.577,N/A,1.577,1.577,1.577
06/07/2021,1.6015,N/A,1.6015,1.6015,1.6015
06/04/2021,1.6165,N/A,1.6165,1.6165,1.6165
06/03/2021,1.576,N/A,1.576,1.576,1.576
06/02/2021,1.6115,N/A,1.6115,1.6115,1.6115
06/01/2021,1.6105,N/A,1.6105,1.6105,1.6105
05/28/2021,1.6235,N/A,1.6235,1.6235,1.6235
05/27/2021,1.5535,N/A,1.5535,1.5535,1.5535
05/26/2021,1.557,N/A,1.557,1.557,1.557
05/25/2021,1.505,N/A,1.505,1.505,1.505
05/24/2021,1.49,N/A,1.49,1.49,1.49
05/21/2021,1.501,N/A,1.501,1.501,1.501
05/20/2021,1.5095,N/A,1.5095,1.5095,1.5095
05/19/2021,1.5095,N/A,1.5095,1.5095,1.5095
05/18/2021,1.528,N/A,1.528,1.528,1.528
05/17/2021,1.4575,N/A,1.4575,1.4575,1.4575
05/14/2021,1.45,N/A,1.45,1.45,1.45
05/13/2021,1.464,N/A,1.464,1.464,1.464
05/12/2021,1.465,N/A,1.465,1.465,1.465
05/11/2021,1.501,N/A,1.501,1.501,1.501
05/10/2021,1.4805,N/A,1.4805,1.4805,1.4805
05/07/2021,1.529,N/A,1.529,1.529,1.529
05/06/2021,1.543,N/A,1.543,1.543,1.543
05/05/2021,1.4985,N/A,1.4985,1.4985,1.4985
05/04/2021,1.4035,N/A,1.4035,1.4035,1.4035
05/03/2021,1.4025,N/A,1.4025,1.4025,1.4025
04/30/2021,1.4145,N/A,1.4145,1.4145,1.4145
04/29/2021,1.43,N/A,1.43,1.43,1.43
04/28/2021,1.4585,N/A,1.4585,1.4585,1.4585
04/27/2021,1.459,N/A,1.459,1.459,1.459
04/26/2021,1.4335,N/A,1.4335,1.4335,1.4335
04/23/2021,1.385,N/A,1.385,1.385,1.385
04/22/2021,1.3615,N/A,1.3615,1.3615,1.3615
04/21/2021,1.322,N/A,1.322,1.322,1.322
04/20/2021,1.3245,N/A,1.3245,1.3245,1.3245
04/19/2021,1.2985,N/A,1.2985,1.2985,1.2985
04/16/2021,1.2915,N/A,1.2915,1.2915,1.2915
04/15/2021,1.327,N/A,1.327,1.327,1.327
04/14/2021,1.321,N/A,1.321,1.321,1.321
04/13/2021,1.3005,N/A,1.3005,1.3005,1.3005
04/12/2021,1.281,N/A,1.281,1.281,1.281
